       JobID    Elapsed      NCPUS  AllocCPUS    CPUTime   TotalCPU     ReqMem   NTasks      State      User 
------------ ---------- ---------- ---------- ---------- ---------- ---------- -------- ---------- --------- 
4208_1         00:12:10          6          6   01:13:00   00:00:00       12Gn           COMPLETED student05 
4208_1.batch   00:12:10          6          6   01:13:00   00:00:00       12Gn        1  COMPLETED           
4208_2         00:10:39          6          6   01:03:54   00:00:00       12Gn           COMPLETED student05 
4208_2.batch   00:10:39          6          6   01:03:54   00:00:00       12Gn        1  COMPLETED           
4208_3         00:10:17          6          6   01:01:42   00:00:00       12Gn           COMPLETED student05 
4208_3.batch   00:10:17          6          6   01:01:42   00:00:00       12Gn        1  COMPLETED           
4208_4         00:11:29          6          6   01:08:54   00:00:00       12Gn           COMPLETED student05 
4208_4.batch   00:11:29          6          6   01:08:54   00:00:00       12Gn        1  COMPLETED           
4208_5         00:12:10          6          6   01:13:00   00:00:00       12Gn           COMPLETED student05 
4208_5.batch   00:12:10          6          6   01:13:00   00:00:00       12Gn        1  COMPLETED           
4209_0         01:07:49          6          6   06:46:54   00:00:00       20Gn           COMPLETED student05 
4209_0.batch   01:07:49          6          6   06:46:54   00:00:00       20Gn        1  COMPLETED           
4209_1         01:08:03          6          6   06:48:18   00:00:00       20Gn           COMPLETED student05 
4209_1.batch   01:08:03          6          6   06:48:18   00:00:00       20Gn        1  COMPLETED           
4209_2         01:00:36          6          6   06:03:36   00:00:00       20Gn           COMPLETED student05 
4209_2.batch   01:00:36          6          6   06:03:36   00:00:00       20Gn        1  COMPLETED           
4209_3         00:55:03          6          6   05:30:18   00:00:00       20Gn           COMPLETED student05 
4209_3.batch   00:55:03          6          6   05:30:18   00:00:00       20Gn        1  COMPLETED           
4209_4         00:54:24          6          6   05:26:24   00:00:00       20Gn           COMPLETED student05 
4209_4.batch   00:54:24          6          6   05:26:24   00:00:00       20Gn        1  COMPLETED           
4209_5         01:02:33          6          6   06:15:18   00:00:00       20Gn           COMPLETED student05 
4209_5.batch   01:02:33          6          6   06:15:18   00:00:00       20Gn        1  COMPLETED           
4213_0         00:03:21          6          6   00:20:06   00:00:00       12Gn           COMPLETED student05 
4213_0.batch   00:03:21          6          6   00:20:06   00:00:00       12Gn        1  COMPLETED           
4213_1         00:03:44          6          6   00:22:24   00:00:00       12Gn           COMPLETED student05 
4213_1.batch   00:03:44          6          6   00:22:24   00:00:00       12Gn        1  COMPLETED           
4213_2         00:03:20          6          6   00:20:00   00:00:00       12Gn           COMPLETED student05 
4213_2.batch   00:03:20          6          6   00:20:00   00:00:00       12Gn        1  COMPLETED           
4213_3         00:03:08          6          6   00:18:48   00:00:00       12Gn           COMPLETED student05 
4213_3.batch   00:03:08          6          6   00:18:48   00:00:00       12Gn        1  COMPLETED           
4213_4         00:02:41          6          6   00:16:06   00:00:00       12Gn           COMPLETED student05 
4213_4.batch   00:02:41          6          6   00:16:06   00:00:00       12Gn        1  COMPLETED           
4213_5         00:02:51          6          6   00:17:06   00:00:00       12Gn           COMPLETED student05 
4213_5.batch   00:02:51          6          6   00:17:06   00:00:00       12Gn        1  COMPLETED           
4214_0         00:00:02          6          6   00:00:12   00:00:00       12Gn           COMPLETED student05 
4214_0.batch   00:00:02          6          6   00:00:12   00:00:00       12Gn        1  COMPLETED           
4214_1         00:00:02          6          6   00:00:12   00:00:00       12Gn           COMPLETED student05 
4214_1.batch   00:00:02          6          6   00:00:12   00:00:00       12Gn        1  COMPLETED           
4214_2         00:00:02          6          6   00:00:12   00:00:00       12Gn           COMPLETED student05 
4214_2.batch   00:00:02          6          6   00:00:12   00:00:00       12Gn        1  COMPLETED           
